"Freq [GHz]","dB(St(1,1)) []"
1.2,-7.82101716092518
1.206,-7.53161905245318
1.212,-7.30448910550027
1.218,-7.13320500718676
1.224,-7.01256861858899
1.23,-6.93849121107877
1.236,-6.90782418380748
1.242,-6.91814412596792
1.248,-6.96749286750524
1.254,-7.05408732808905
1.26,-7.17607830513612
1.266,-7.33157461886086
1.272,-7.51929196357234
1.278,-7.74001986976927
1.284,-7.99818199361159
1.29,-8.30155734224186
1.296,-8.65787297378407
1.302,-9.07027743843118
1.308,-9.53571968393457
1.314,-10.0476557175102
1.32,-10.6005507515057
1.326,-11.1928679371753
1.332,-11.8273935773225
1.338,-12.5098799194959
1.344,-13.2474407112446
1.35,-14.0474009882622
1.356,-14.9164911140566
1.362,-15.8598843867909
1.368,-16.8794592680041
1.374,-17.9705284614336
1.38,-19.1160861715962
1.386,-20.2779655175604
1.392,-21.3870013303765
1.398,-22.3420865350759
1.404,-23.0368685309472
1.41,-23.4181838577147
1.416,-23.5310890070401
1.422,-23.4994727415608
1.428,-23.468376937434
1.434,-23.5676356738561
1.44,-23.9117649401912
1.446,-24.6219750127008
1.452,-25.8660408837297
1.458,-27.9449240408081
1.464,-31.5801753668112
1.47,-39.7557653692159
1.476,-41.9663516997726
1.482,-31.5007042039714
1.488,-26.8750915156963
1.494,-23.9769843488394
1.5,-21.943223562503
1.506,-20.4294601180789
1.512,-19.2559534349732
1.518,-18.3149252474055
1.524,-17.5373466120708
1.53,-16.878196503541
1.536,-16.3086049879114
1.542,-15.8107406758573
1.548,-15.3738551158162
1.554,-14.9911319985046
1.56,-14.6573817381817
1.566,-14.3674625530867
1.572,-14.1151468715954
1.578,-13.892246292001
1.584,-13.6881334765932
1.59,-13.4902838759665
1.596,-13.2868663264728
1.602,-13.0720063084389
1.608,-12.852215463222
1.614,-12.6494031734415
1.62,-12.4955764924789
1.626,-12.4191782090099
1.632,-12.4288568247218
1.638,-12.5021481311625
1.644,-12.5854788158936
1.65,-12.6098032943628
1.656,-12.5183390313841
1.662,-12.2900157373391
1.668,-11.9417233909926
1.674,-11.5115502746239
1.68,-11.0397698986005
1.686,-10.5586425807579
1.692,-10.0906609013482
1.698,-9.65066976363363
1.704,-9.24853326995862
1.71,-8.89098155043204
1.716,-8.58236219575033
1.722,-8.32447190881918
1.728,-8.11589325263563
1.734,-7.95146847519487
1.74,-7.82258129084041
1.746,-7.71858942558903
1.752,-7.62912194547772
1.758,-7.54644530507535
1.764,-7.46704077635283
1.77,-7.39175628715861
1.776,-7.32426228129585
1.782,-7.26853352335823
1.788,-7.22712332187286
1.794,-7.20103370267655
1.8,-7.19006490557727
1.806,-7.19266990818522
1.812,-7.20588498488789
1.818,-7.22666471752885
1.824,-7.25502854955525
1.83,-7.29730965320517
1.836,-7.3668386313827
1.842,-7.48133686979564
1.848,-7.65892996497261
1.854,-7.9149198741865
1.86,-8.25939593058668
1.866,-8.69324144584533
1.872,-9.1986685225849
1.878,-9.72197354124912
1.884,-10.1560146533736
1.89,-10.3539209728836
1.896,-10.2106938903119
1.902,-9.75727281268953
1.908,-9.13869869547138
1.914,-8.50442149574362
1.92,-7.94364869356748
1.926,-7.48853224025461
1.932,-7.13901367657534
1.938,-6.88229612410205
1.944,-6.70312471379728
1.95,-6.58817130969009
1.956,-6.52783296310004
1.962,-6.51737426454691
1.968,-6.55771834049055
1.974,-6.65466671469638
1.98,-6.81584834690114
1.986,-7.04751919156408
1.992,-7.35346782818611
1.998,-7.73483848818116
2.004,-8.1884557791537
2.01,-8.70323451708087
2.016,-9.25691615817144
2.022,-9.81777020958229
2.028,-10.3554889960938
2.034,-10.8578280642
2.04,-11.3392509824776
2.046,-11.8309646059125
2.052,-12.357922091942
2.058,-12.9153636811676
2.064,-13.451420148986
2.07,-13.8623327501476
2.076,-14.0188061118647
2.082,-13.8341671190306
2.088,-13.3258005568949
2.094,-12.5989664225018
2.1,-11.7767835824076
2.106,-10.9527606684608
2.112,-10.1846617408548
2.118,-9.50639458161759
2.124,-8.93964795928124
2.13,-8.49983340259719
2.136,-8.19673918906316
2.142,-8.0317294848171
2.148,-7.9933240243308
2.154,-8.05230940758325
2.16,-8.1569803012843
2.166,-8.23335231086233
2.172,-8.20603170138062
2.178,-8.0445533740127
2.184,-7.78585108612936
2.19,-7.49349396894331
2.196,-7.20943028787552
2.202,-6.94516262822377
2.208,-6.69426405088767
2.214,-6.44633667210482
2.22,-6.19813931251163
2.226,-5.95839263917912
2.232,-5.74396319594153
2.238,-5.57194262014765
2.244,-5.45420808173564
2.25,-5.39634765370496
2.256,-5.39879155046163
2.262,-5.45758330350957
2.268,-5.56352863505435
2.274,-5.70019112749889
2.28,-5.84321326854751
2.286,-5.96446750781032
2.292,-6.04195031481849
2.298,-6.07019240068235
2.304,-6.06302626764933
2.31,-6.04656522995454
2.316,-6.04830640381365
2.322,-6.08873471919102
2.328,-6.17740159862444
2.334,-6.31355388254195
2.34,-6.49238156021889
2.346,-6.7171717249793
2.352,-7.0133545348157
2.358,-7.4378069248809
2.364,-8.08023810120962
2.37,-9.056576628267
2.376,-10.4879255291057
2.382,-12.4410138535378
2.388,-14.7535093838957
2.394,-16.6230896497374
2.4,-16.8516154538877
2.406,-15.7970108083596
2.412,-14.6189559313772
2.418,-13.7702425724247
2.424,-13.2876766158191
2.43,-13.1155547377264
2.436,-13.2033462113097
2.442,-13.5253867034731
2.448,-14.078059500264
2.454,-14.869217167013
2.46,-15.8996150779457
2.466,-17.124548189516
2.472,-18.374717597676
2.478,-19.2668081911478
2.484,-19.3613293691399
2.49,-18.6648042386694
2.496,-17.6213815933469
2.502,-16.6094590731419
2.508,-15.7928048913792
2.514,-15.2144219511243
2.52,-14.8755436985863
2.526,-14.7700391244478
2.532,-14.8959046050796
2.538,-15.2573511062661
2.544,-15.8628626033453
2.55,-16.7206591422298
2.556,-17.8307184644276
2.562,-19.1707536612526
2.568,-20.6737806717849
2.574,-22.2018513006063
2.58,-23.5336860219528
2.586,-24.3766909067515
2.592,-24.4030343452731
2.598,-23.4294475791597
2.604,-21.68934757582
2.61,-19.6687174467718
2.616,-17.7313623903056
2.622,-16.0419163792826
2.628,-14.647680691617
2.634,-13.5436692879126
2.64,-12.7007048309389
2.646,-12.0760282949927
2.652,-11.6208191593176
2.658,-11.2887327833946
2.664,-11.0432679646019
2.67,-10.8613527093635
2.676,-10.7327992186517
2.682,-10.656887844181
2.688,-10.6376868684624
2.694,-10.6795485378792
2.7,-10.7839934943252
2.706,-10.9487529579267
2.712,-11.1689280390962
2.718,-11.4393901492261
2.724,-11.7571934206498
2.73,-12.1230826972055
2.736,-12.5419200398695
2.742,-13.0224617535338
2.748,-13.5770068137067
2.754,-14.2211672293635
2.76,-14.9737388841475
2.766,-15.8564794144105
2.772,-16.8933060799837
2.778,-18.1073298188773
2.784,-19.5101934091281
2.79,-21.0657300456992
2.796,-22.5836300134162
2.802,-23.5400754726844
2.808,-23.26941170715
2.814,-21.8481034639071
2.82,-19.9730506731133
2.826,-18.1122398066026
2.832,-16.424260892029
2.838,-14.9411104156442
2.844,-13.6611581378944
2.85,-12.5756784180041
2.856,-11.6712657761909
2.862,-10.9278950039304
2.868,-10.3206376317899
2.874,-9.82607601100126
2.88,-9.42954601818268
2.886,-9.1279758391475
2.892,-8.92642759609929
2.898,-8.83143807953296
2.904,-8.84595975404495
2.91,-8.96809091669292
2.916,-9.19232482666026
2.922,-9.51088508672922
2.928,-9.91388826312025
2.934,-10.3889493285615
2.94,-10.9218228412682
2.946,-11.4988165738056
2.952,-12.1097371923883
2.958,-12.7493003615855
2.964,-13.416242445609
2.97,-14.1111125788176
2.976,-14.8342007740974
2.982,-15.5845050386409
2.988,-16.3600662619792
2.994,-17.1598060490962
3,-17.9868956151089
3.006,-18.8531656075082
3.012,-19.7830719001728
3.018,-20.8151094877382
3.024,-21.9993026002305
3.03,-23.3902296319377
3.036,-25.0302863671856
3.042,-26.8942761923255
3.048,-28.7067564728104
3.054,-29.6475619795541
3.06,-28.962110451835
3.066,-27.2527182116413
3.072,-25.4395806044926
3.078,-23.8861324051812
3.084,-22.6477282048715
3.09,-21.685040301328
3.096,-20.9338898157996
3.102,-20.3283986720877
3.108,-19.8128074750181
3.114,-19.3466328667199
3.12,-18.9011331179449
3.126,-18.451152733691
3.132,-17.9728858757115
3.138,-17.4542136929333
3.144,-16.9100398578079
3.15,-16.3849517383985
3.156,-15.9358888815032
3.162,-15.6066381968173
3.168,-15.409084734066
3.174,-15.3162845100093
3.18,-15.2671030556493
3.186,-15.184085071135
3.192,-15.00392291121
3.198,-14.7059892869191
3.204,-14.3170912197844
3.21,-13.8907598200457
3.216,-13.4821602680582
3.222,-13.1349099783595
3.228,-12.8795872078165
3.234,-12.7370684002918
3.24,-12.7216208470699
3.246,-12.8415018677423
3.252,-13.096352593059
3.258,-13.4719138558433
3.264,-13.9348694134817
3.27,-14.4328197615356
3.276,-14.9019225402865
3.282,-15.2784127670538
3.288,-15.5113204051449
3.294,-15.5785208855737
3.3,-15.4987077817428
3.306,-15.3241789488104
3.312,-15.1163447068098
3.318,-14.922323147351
3.324,-14.7651660451461
3.33,-14.6486570875116
3.336,-14.571524728623
3.342,-14.5408320942509
3.348,-14.5740786214127
3.354,-14.6903847844063
3.36,-14.9006001453433
3.366,-15.2026587799779
3.372,-15.5809736709236
3.378,-16.0065500350237
3.384,-16.4365889113977
3.39,-16.8158375139815
3.396,-17.0851893941444
3.402,-17.200961689585
3.408,-17.1558615033585
3.414,-16.982334901394
3.42,-16.7330149402941
3.426,-16.4572874315719
3.432,-16.1926521290104
3.438,-15.970584431074
3.444,-15.826096782195
3.45,-15.8024059403877
3.456,-15.9476376875342
3.462,-16.304695406159
3.468,-16.8969355198454
3.474,-17.7104937205035
3.48,-18.6722498520029
3.486,-19.6308790800452
3.492,-20.3772641042356
3.498,-20.7462331955054
3.504,-20.7287372460874
3.51,-20.4515572777909
3.516,-20.0734330683767
3.522,-19.7315647568389
3.528,-19.5374670835736
3.534,-19.5793247473695
3.54,-19.9274889859279
3.546,-20.6493577408258
3.552,-21.8257554233275
3.558,-23.5422991560422
3.564,-25.7645892427539
3.57,-27.8020861968611
3.576,-27.9367934995976
3.582,-26.2490163657364
3.588,-24.3506461523048
3.594,-22.7500568468739
3.6,-21.3728330634328
